modelo,umbral,umbral_f1,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,cv_ks_mean,cv_ks_std,cv_gini_mean,cv_gini_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,test_roc_auc,test_pr_auc,test_ks,test_gini,test_precision,test_recall,test_f1,test_ahorro_pct,test_tasa_rechazo,oot_roc_auc,oot_pr_auc,oot_ks,oot_gini,oot_precision,oot_recall,oot_f1,oot_ahorro_pct,segundos
Dummy (siempre paga),0.5,0.5,0.5,0.0,0.04780629095318708,0.00024032281044503756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.047665847665847666,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.5,0.030466830466830467,0.0,0.0,0.0,0.0,0.0,0.0,1.1
Regresion Logistica,0.89,0.6576,0.6835976623527801,0.03205247029242493,0.1613748613925873,0.05788214466960291,0.3155480749908789,0.06041063266329014,0.36719532470556027,0.06410494058484986,0.5286111111111111,0.2979658402825878,0.06416916416916416,0.04508910586375496,0.11052104381909018,0.07332542626808229,0.6749864351600651,0.1432300797586596,0.27441937165533603,0.34997287032013014,0.3125,0.05154639175257732,0.08849557522123894,0.027335647146630393,0.007862407862407862,0.6822016578650492,0.08482246930751512,0.30467766460114776,0.3644033157300983,0.18518518518518517,0.08064516129032258,0.11235955056179775,0.0674902716657485,1.3
Random Forest,0.66,0.4835,0.6861690754042115,0.024773083261146613,0.1584347747134584,0.03426541562542939,0.2989316687463671,0.05067869658931573,0.3723381508084229,0.049546166522293225,0.4233799533799535,0.1140823023456224,0.07708957708957709,0.022843191784912634,0.12938063579527878,0.03674888982449263,0.6942006319619546,0.12719307462940427,0.3311363612183886,0.38840126392390917,0.3,0.061855670103092786,0.10256410256410256,0.025841458670464168,0.009828009828009828,0.7201249121200726,0.12617624438910865,0.34743227114431924,0.44024982424014514,0.21739130434782608,0.08064516129032258,0.11764705882352941,0.04263629685572434,11.6
HistGradientBoosting,0.74,0.5841,0.6579458117564284,0.012950721290233518,0.16351573459166135,0.03878369787452955,0.2665555467322268,0.02607242634140549,0.31589162351285677,0.025901442580467036,0.3301193294755337,0.10622845787529979,0.12087912087912087,0.024103566119211866,0.17582321486272628,0.03990212673160923,0.6347015203259817,0.11802193507838454,0.234969625397636,0.2694030406519634,0.24390243902439024,0.10309278350515463,0.14492753623188406,0.018296344140402376,0.020147420147420148,0.6573582067589883,0.09879068777720706,0.26526658273792986,0.3147164135179765,0.14035087719298245,0.12903225806451613,0.13445378151260504,0.03548388477713227,10.7
XGBoost,0.77,0.6229,0.6623966744155003,0.010965808159675771,0.16379850059119083,0.03504819760400548,0.2919613953453891,0.045280020933139715,0.3247933488310006,0.021931616319351543,0.4362605042016807,0.11584023707411267,0.1027972027972028,0.01797140817472856,0.16608049951709605,0.03156194811943591,0.6579160150223952,0.12641861554444805,0.2633813156298873,0.3158320300447903,0.36,0.09278350515463918,0.14754098360655737,0.05627114167825975,0.012285012285012284,0.6774193548387097,0.09410926514218272,0.3153867534293609,0.3548387096774195,0.19047619047619047,0.12903225806451613,0.15384615384615385,0.07149067202461845,5.0
